voeu_id,code_smartex_ens,id_session,jour,seance
335,112,1,4,S3
336,127,1,3,S4
337,113,1,7,S2
338,127,1,7,S3
339,159,1,5,S2
340,108,1,3,S2
341,128,1,6,S4
342,130,1,2,S2
343,75,1,5,S4
344,232,1,6,S4
345,115,1,5,S3
346,116,1,6,S3
347,320,1,5,S2
348,116,1,4,S4
349,76,1,4,S1
350,117,1,2,S2
351,166,1,1,S1
352,320,1,7,S3
353,3,1,6,S4
354,320,1,1,S4
355,20,1,7,S4
356,225,1,6,S1
357,102,1,5,S1
358,207,1,4,S1
359,50,1,3,S2
360,113,1,3,S4
361,110,1,6,S1
362,188,1,5,S2
363,240,1,6,S1
364,20,1,1,S1
365,188,1,7,S1
366,166,1,6,S4
367,80,1,7,S2
368,44,1,7,S3
369,117,1,6,S4
370,320,1,3,S1
371,75,1,7,S1
372,119,1,7,S2
373,130,1,6,S4
374,108,1,6,S4
375,45,1,1,S3
376,38,1,1,S4
377,56,1,2,S3
378,216,1,4,S3
379,130,1,2,S4
380,135,1,3,S2
381,108,1,2,S1
382,48,1,2,S2
383,232,1,6,S2
384,56,1,7,S1
385,216,1,3,S2
386,127,1,4,S4
387,23,1,5,S4
388,76,1,5,S4
389,188,1,4,S1
390,8,1,4,S4
391,3,1,5,S1
392,130,1,7,S3
393,232,1,2,S2
394,84,1,3,S2
395,65,1,3,S1
396,65,1,3,S3
397,113,1,2,S1
398,13,1,2,S4
399,232,1,3,S2
400,113,1,2,S4
401,159,1,6,S4
402,76,1,3,S3
403,45,1,1,S1
404,48,1,2,S4
405,76,1,7,S2
406,116,1,3,S1
407,8,1,1,S4
408,130,1,7,S4
409,110,1,2,S2
410,166,1,6,S2
411,225,1,4,S2
412,225,1,7,S3
413,206,1,4,S4
414,127,1,6,S1
415,76,1,5,S2
416,116,1,2,S3
417,116,1,5,S2
418,108,1,7,S2
419,115,1,4,S1
420,77,1,6,S3
421,112,1,4,S4
422,227,1,6,S1
423,232,1,1,S1
424,130,1,3,S3
425,238,1,5,S1
426,45,1,7,S4
427,227,1,1,S2
428,80,1,7,S1
429,238,1,1,S3
430,371,1,6,S2
431,91,1,1,S1
432,18,1,3,S3
433,44,1,6,S1
434,128,1,3,S3
435,72,1,5,S3
436,238,1,5,S4
